id,orderShopId,orderName,orderNameOrig,hint,hintOrig,fragmentName,fragmentNameOrig,fragmentCount,fragmentColor,clearRewardName,clearRewardNameOrig,firstClearRewardAmount,clearRewardAmount,stars,unlockCondition,reacceptable
97,168,Test your might "limelight" elite 3rd,腕試し編・ライムライト 超上級3RD,Clear 量子の海のリントヴルム (HARD) with AAA rank or above,量子の海のリントヴルムのHARDをランクAAA以上でクリア,Test your might elite 3 fragment,腕試し超上級3のかけら,10,red,Stamp ticket,スタンプチケット,5,0,5,{"anyOrdersCleared":[96]},FALSE
98,169,Test your might "limelight" elite final,腕試し編・ライムライト 超上級FINAL,Clear VALLIS-NERIA (HARD) with AAA+ rank,VALLIS-NERIAのHARDをランクAAA+でクリア,Test your might elite 4 fragment,腕試し超上級4のかけら,10,red,Byword left part "Limelight elite",通り名 前パーツ「二代超上級の」,1,0,6,{"anyOrdersCleared":[97]},FALSE
99,227,Test your might "limelight" legendary,腕試し編・ライムライト 伝説級,Clear HAERETICUS (HARD) with AAA+ rank,HAERETICUSのHARDをランクAAA+でクリア,Test your might legendary fragment,腕試し伝説級のかけら,1,red,Byword left part "Limelight legendary",通り名 前パーツ「二代伝説級の」,1,0,7,{"anyOrdersCleared":[98]},FALSE
100,79,Spring gear - head ☆1,春装備あたま編 ☆1,Play musics of level 5,レベル5の楽曲をプレー,Level 5 fragment,レベル5のかけら,8,blue,Colorful hat,カラフルな帽子,1,0,1,{},FALSE
101,80,Spring gear - head ☆2,春装備あたま編 ☆2,Play musics of REFLEC BEAT colette Spring,Springバージョンの楽曲をプレー,Spring fragment,春かけら,10,blue,Stylish sun hat,おしゃれなバイザー,1,0,1,"{""equipCondition"":{""index"":0,""season"":1,""experiences"":0}}",FALSE
102,81,Spring gear - head ☆3,春装備あたま編 ☆3,Play musics of REFLEC BEAT colette,REFLEC BEAT coletteの曲をプレー,Colette fragment,コレットのかけら,10,blue,Gardener's hat,庭師の麦わら帽子,1,0,2,"{""equipCondition"":{""index"":0,""season"":1,""experiences"":1}}",FALSE
103,82,Spring gear - head ☆4,春装備あたま編 ☆4,Play musics of J-POP genre,J-POPの楽曲をプレー,J-POP fragment,J-POPのかけら,12,blue,Firefighter helmet,消防メット,1,0,2,"{""equipCondition"":{""index"":0,""season"":1,""experiences"":2}}",FALSE
104,83,Spring gear - head ☆5,春装備あたま編 ☆5,Play musics which artist name start with row T,「た行」で始まるアーティスト名の楽曲をプレー,Artist name row T fragment,アーティストた行のかけら,12,blue,Bee hood,みつばちフード,1,0,3,"{""equipCondition"":{""index"":0,""season"":1,""experiences"":4}}",FALSE
105,84,Spring gear - head ☆6,春装備あたま編 ☆6,Matching with friends,フレンドとマッチングする,Matching 3 fragment,マッチング3のかけら,14,blue,Raijin head,雷神ヘッド,1,0,3,"{""equipCondition"":{""index"":0,""season"":1,""experiences"":7}}",FALSE
106,85,Spring gear - body ☆1,春装備からだ編 ☆1,Play musics of level 6,レベル6の楽曲をプレー,Level 6 fragment,レベル6のかけら8個集める,8,blue,Casual clothing,カジュアルな春服,1,0,1,{},FALSE
107,86,Spring gear - body ☆2,春装備からだ編 ☆2,Play musics of REFLEC BEAT,初代REFLEC BEATの楽曲をプレー,REFLEC BEAT fragment,初代のかけら,10,blue,Stylish apron,おしゃれなエプロン,1,0,1,"{""equipCondition"":{""index"":1,""season"":1,""experiences"":0}}",FALSE
108,87,Spring gear - body ☆3,春装備からだ編 ☆3,Play musics of Variety genre,バラエティの楽曲をプレー,Variety fragment,バラエティのかけら,10,blue,Gardener's clothing,庭師の服,1,0,2,"{""equipCondition"":{""index"":1,""season"":1,""experiences"":1}}",FALSE
109,88,Spring gear - body ☆4,春装備からだ編 ☆4,Play musics of REFLEC BEAT colette Spring,Springバージョンの楽曲をプレー,Spring fragment,春のかけら,12,blue,Firefighter uniform,消防服,1,0,2,"{""equipCondition"":{""index"":1,""season"":1,""experiences"":2}}",FALSE
110,89,Spring gear - body ☆5,春装備からだ編 ☆5,Play musics which artist name start with row H,「は行」で始まるアーティスト名の楽曲をプレー,Artist name row H fragment,アーティストは行のかけら,12,blue,Bee suit,みつばちスーツ,1,0,3,"{""equipCondition"":{""index"":1,""season"":1,""experiences"":4}}",FALSE
111,90,Spring gear - body ☆6,春装備からだ編 ☆6,Matching with team members,チームメンバーとマッチングする,Matching 2 fragment,マッチング2の欠片,14,blue,Raijin body,雷神ボディ,1,0,3,"{""equipCondition"":{""index"":1,""season"":1,""experiences"":7}}",FALSE
112,91,Spring gear - hand ☆1,春装備もちもの編 ☆1,Play musics of level 4,レベル4の楽曲をプレー,Level 4 fragment,レベル4のかけら,8,blue,Normal watering can,ふつうのじょうろ,1,0,1,{},FALSE
113,92,Spring gear - hand ☆2,春装備もちもの編 ☆2,Play musics of KONAMI Original genre,コナミオリジナルの楽曲をプレー,KONAMI Original fragment,コナオリのかけら,10,blue,Stylish watering can,おしゃれなじょうろ,1,0,1,"{""equipCondition"":{""index"":2,""season"":1,""experiences"":0}}",FALSE
114,93,Spring gear - hand ☆3,春装備もちもの編 ☆3,Play musics of REFLEC BEAT colette Spring,Springバージョンの楽曲をプレー,Spring fragment,春のかけら,10,blue,Fire hose,水やりホース,1,0,2,"{""equipCondition"":{""index"":2,""season"":1,""experiences"":1}}",FALSE
115,94,Spring gear - hand ☆4,春装備もちもの編 ☆4,Play musics of REFLEC BEAT limelight,REFLEC BEAT limelightの楽曲をプレー,Limelight fragment,ライムライトのかけら,12,blue,Authentic hose,本格的なホース,1,0,2,"{""equipCondition"":{""index"":2,""season"":1,""experiences"":2}}",FALSE
116,95,Spring gear - hand ☆5,春装備もちもの編 ☆5,Play musics which artist name start with row S,「さ行」で始まるアーティスト名の楽曲をプレー,Artist name row S fragment,アーティストさ行のかけら,12,blue,Bee syringe,みつばち注射器,1,0,3,"{""equipCondition"":{""index"":2,""season"":1,""experiences"":4}}",FALSE
117,96,Spring gear - hand ☆6,春装備もちもの編 ☆6,Play via matching,マッチングをする,Matching 1 fragment,マッチングのかけら1,14,blue,Raijin drum,雷神ドラム,1,0,3,"{""equipCondition"":{""index"":2,""season"":1,""experiences"":7}}",FALSE
118,97,Order of lure No.1,魚のえさ編 その1,Play musics of REFLEC BEAT colette Spring,Summerバージョンの楽曲をプレー,Lure fragment 1,魚のえさのかけら1,12,violet,Silver lure,銀の魚のえさ,3,1,2,{},TRUE
119,98,Order of lure No.2,魚のえさ編 その2,Play musics of REFLEC BEAT colette Spring via matching,Summerバージョンの楽曲をマッチングする,Lure fragment 2,魚のえさのかけら2,15,violet,Golden lure,金の魚のえさ,3,1,2,{"anyOrdersCleared":[118]},TRUE
120,50,Order of artist vol. HinaBitter♪,アーティスト編 ひなビタ♪推し,Play musics by HinaBitter♪,ひなビタ♪の楽曲をプレー,HinaBitter♪ fragment,ひなビタ♪のかけら,25,orange,Stamp ticket,スタンプチケット,4,2,3,{},TRUE
121,170,Test your might "colette Winter" primary 1st,腕試し編・コレット冬 初級1ST,Clear musics of REFLEC BEAT colette Winter in HARD difficulty,REFLEC BEAT colette Winterの楽曲でHARDをクリア,Test your might primary 1 fragment,腕試し初級1のかけら,15,red,Stamp ticket,スタンプチケット,3,0,2,{},FALSE
122,171,Test your might "colette Winter" primary 2nd,腕試し編・コレット冬 初級2ND,Clear level 6 musics of REFLEC BEAT colette Winter with AA rank or above,REFLEC BEAT colette Winterの楽曲でレベル6の楽曲をランクAA以上でクリア,Test your might primary 2 fragment,腕試し初級2のかけら,15,red,Stamp ticket,スタンプチケット,4,0,2,{"anyOrdersCleared":[121]},FALSE
123,172,Test your might "colette Winter" primary final,腕試し編・コレット冬 初級FINAL,Clear level 7 musics of REFLEC BEAT colette Winter with AA rank or above,REFLEC BEAT colette Winterの楽曲でレベル7の楽曲をランクAA以上でクリア,Test your might primary 3 fragment,腕試し初級3のかけら,15,red,Byword left part "Colette Winter primary",通り名 前パーツ「三代冬初級の」,1,0,2,{"anyOrdersCleared":[122]},FALSE
124,173,Test your might "colette Winter" intermediate 1st,腕試し編・コレット冬 中級1ST,Clear level 9 musics of REFLEC BEAT colette Winter,REFLEC BEAT colette Winterの楽曲でレベル9の楽曲をクリア,Test your might intermediate 1 fragment,腕試し中級1のかけら,15,red,Stamp ticket,スタンプチケット,3,0,3,{},FALSE
125,174,Test your might "colette Winter" intermediate 2nd,腕試し編・コレット冬 中級2ND,Clear level 8 musics of REFLEC BEAT colette Winter with AA rank or above,REFLEC BEAT colette Winterの楽曲でレベル8の楽曲をランクAA以上でクリア,Test your might intermediate 2 fragment,腕試し中級2のかけら,15,red,Stamp ticket,スタンプチケット,4,0,3,{"anyOrdersCleared":[124]},FALSE
126,175,Test your might "colette Winter" intermediate final,腕試し編・コレット冬 中級FINAL,Clear 梅雪夜 (HARD),梅雪夜のHARDをクリア,Test your might intermediate 3 fragment,腕試し中級3のかけら,10,red,Byword left part "Colette Winter intermediate",通り名 前パーツ「三代冬中級の」,1,0,3,{"anyOrdersCleared":[125]},FALSE
127,176,Test your might "colette Winter" advanced 1st,腕試し編・コレット冬 上級1ST,Clear level 9 musics of REFLEC BEAT colette Winter with AA rank or above,REFLEC BEAT colette Winterの楽曲でレベル9の楽曲をランクAA以上でクリア,Test your might advanced 1 fragment,腕試し上級1のかけら,15,red,Stamp ticket,スタンプチケット,3,0,4,{},FALSE
128,177,Test your might "colette Winter" advanced 2nd,腕試し編・コレット冬 上級2ND,Clear level 7 musics of REFLEC BEAT colette Winter with AA rank or above and full combo,REFLEC BEAT colette Winterの楽曲でレベル7の楽曲をランクAA以上でフルコンボクリア,Test your might advanced 2 fragment,腕試し上級2のかけら,15,red,Stamp ticket,スタンプチケット,4,0,4,{"anyOrdersCleared":[127]},FALSE
129,178,Test your might "colette Winter" advanced 3rd,腕試し編・コレット冬 上級3RD,Clear level 10 musics of REFLEC BEAT colette Winter with AA rank or above,REFLEC BEAT colette Winterの楽曲でレベル10の楽曲をランクAA以上でクリア,Test your might advanced 3 fragment,腕試し上級3のかけら,15,red,Stamp ticket,スタンプチケット,5,0,4,{"anyOrdersCleared":[128]},FALSE
130,179,Test your might "colette Winter" advanced final,腕試し編・コレット冬 上級FINAL,Clear Daily Lunch Special (HARD) with AA rank or above,Daily Lunch SpecialのHARDをランクAA以上でクリア,Test your might advanced 4 fragment,腕試し上級4のかけら,10,red,Byword left part "Colette Winter advanced",通り名 前パーツ「三代冬上級の」,1,0,4,{"anyOrdersCleared":[129]},FALSE
131,180,Test your might "colette Winter" elite 1st,腕試し編・コレット冬 超上級1ST,Clear December Breeze (HARD) with AA rank or above,December BreezeのHARDをランクAA以上でクリア,Test your might elite 1 fragment,腕試し超上級1のかけら,10,red,Stamp ticket,スタンプチケット,3,0,5,{},FALSE
132,181,Test your might "colette Winter" elite 2nd,腕試し編・コレット冬 超上級2ND,Clear level 10 musics of REFLEC BEAT colette Winter with full combo,REFLEC BEAT colette Winterの楽曲でレベル10の楽曲をフルコンボクリア,Test your might elite 2 fragment,腕試し超上級2のかけら,15,red,Stamp ticket,スタンプチケット,4,0,5,{"anyOrdersCleared":[131]},FALSE
133,182,Test your might "colette Winter" elite 3rd,腕試し編・コレット冬 超上級3RD,Clear GLITTER (HARD) with AAA rank or above,GLITTERのHARDをランクAAA以上でクリア,Test your might elite 3 fragment,腕試し超上級3のかけら,10,red,Stamp ticket,スタンプチケット,5,0,5,{"anyOrdersCleared":[132]},FALSE
134,183,Test your might "colette Winter" elite final,腕試し編・コレット冬 超上級FINAL,Clear Valanga (HARD) with AAA+ rank,ValangaのHARDをランクAAA+でクリア,Test your might elite 4 fragment,腕試し超上級4のかけら,10,red,Byword left part "Colette Winter elite",通り名 前パーツ「三代冬超上級の」,1,0,6,{"anyOrdersCleared":[133]},FALSE
135,51,"Order of matching, Hokaidou / Tohoku region",マッチング編 北海道・東北エリア,Play with Hokaidou / Tohoku region players via matching,北海道・東北エリアのプレイヤーとマッチングする,Regional matching 1 fragment,エリアマッチング1のかけら,15,orange,Stamp ticket,スタンプチケット,3,2,3,{},TRUE
136,52,"Order of matching, Kanto region",マッチング編 関東エリア,Play with Kanto region players via matching,関東エリアのプレイヤーとマッチングする,Regional matching 2 fragment,エリアマッチング2のかけら,15,orange,Stamp ticket,スタンプチケット,3,2,3,{},TRUE
137,53,"Order of matching, Chubu region",マッチング編 中部エリア,Play with Chubu region players via matching,中部エリアのプレイヤーとマッチングする,Regional matching 3 fragment,エリアマッチング3のかけら,15,orange,Stamp ticket,スタンプチケット,3,2,3,{},TRUE
138,54,"Order of matching, Kinki region",マッチング編 近畿エリア,Play with Kinki region players via matching,近畿エリアのプレイヤーとマッチングする,Regional matching 4 fragment,エリアマッチング4のかけら,15,orange,Stamp ticket,スタンプチケット,3,2,3,{},TRUE
139,55,"Order of matching, Chugoku / Shigoku region",マッチング編 中国・四国エリア,Play with Chugoku / Shigoku region players via matching,中国・四国エリアのプレイヤーとマッチングする,Regional matching 5 fragment,エリアマッチング5のかけら,15,orange,Stamp ticket,スタンプチケット,3,2,3,{},TRUE
140,56,"Order of matching, Kyushu / Okinawa region",マッチング編 九州・沖縄エリア,Play with Kyushu / Okinawa region players via matching,九州・沖縄エリアのプレイヤーとマッチングする,Regional matching 6 fragment,エリアマッチング6のかけら,15,orange,Stamp ticket,スタンプチケット,3,2,3,{},TRUE
141,57,Order of matching with overseaers,マッチング編 海外エリア,Play with oversea players via matching,海外エリア(台湾・香港・韓国)のプレイヤーとマッチングする,Regional matching 7 fragment,エリアマッチング7のかけら,15,orange,Stamp ticket,スタンプチケット,3,2,3,{},TRUE
142,184,Test your might "colette Spring" primary 1st,腕試し編・コレット春 初級1ST,Clear musics of REFLEC BEAT colette Spring with AA rank or above,REFLEC BEAT colette Springの楽曲をランクAA以上でクリア,Test your might primary 1 fragment,腕試し初級のかけら1,15,red,Stamp ticket,スタンプチケット,3,0,2,{},FALSE
143,185,Test your might "colette Spring" primary 2nd,腕試し編・コレット春 初級2ND,Clear level 8 musics of REFLEC BEAT colette Spring,REFLEC BEAT colette Springの楽曲でレベル8の楽曲をクリア,Test your might primary 2 fragment,腕試し初級のかけら2,15,red,Stamp ticket,スタンプチケット,4,0,2,{"anyOrdersCleared":[142]},FALSE
144,186,Test your might "colette Spring" primary final,腕試し編・コレット春 初級FINAL,Clear level 6 musics of REFLEC BEAT colette Spring with AA rank or above,REFLEC BEAT colette Springの楽曲でレベル6の楽曲をランクAA以上でクリア,Test your might primary 3 fragment,腕試し初級のかけら3,15,red,Byword left part "Colette Spring primary",通り名 前パーツ「三代春初級の」,1,0,2,{"anyOrdersCleared":[143]},FALSE
145,187,Test your might "colette Spring" intermediate 1st,腕試し編・コレット春 中級1ST,Clear level 9 musics of REFLEC BEAT colette Spring,REFLEC BEAT colette Springの楽曲でレベル9の楽曲をクリア,Test your might intermediate 1 fragment,腕試し中級のかけら1,15,red,Stamp ticket,スタンプチケット,3,0,3,{},FALSE
146,188,Test your might "colette Spring" intermediate 2nd,腕試し編・コレット春 中級2ND,Clear level 7 musics of REFLEC BEAT colette Spring with AA rank or above,REFLEC BEAT colette Springの楽曲でレベル7の楽曲をランクAA以上でクリア,Test your might intermediate 2 fragment,腕試し中級のかけら2,15,red,Stamp ticket,スタンプチケット,4,0,3,{"anyOrdersCleared":[145]},FALSE
147,189,Test your might "colette Spring" intermediate final,腕試し編・コレット春 中級FINAL,Clear Wow Wow VENUS (HARD) with AA rank or above,Wow Wow VENUSのHARDをランクAA以上でクリア,Test your might intermediate 3 fragment,腕試し中級のかけら3,10,red,Byword left part "Colette Spring intermediate",通り名 前パーツ「三代春中級の」,1,0,3,{"anyOrdersCleared":[146]},FALSE
148,190,Test your might "colette Spring" advanced 1st,腕試し編・コレット春 上級1ST,Clear level 10+ musics of REFLEC BEAT colette Spring,REFLEC BEAT colette Springの楽曲でレベル10+の楽曲をクリア,Test your might advanced 1 fragment,腕試し上級のかけら1,15,red,Stamp ticket,スタンプチケット,3,0,4,{},FALSE
149,191,Test your might "colette Spring" advanced 2nd,腕試し編・コレット春 上級2ND,Clear level 7 musics of REFLEC BEAT colette Spring with AAA rank or above,REFLEC BEAT colette Springの楽曲でレベル7の楽曲をランクAAA以上でクリア,Test your might advanced 2 fragment,腕試し上級のかけら2,15,red,Stamp ticket,スタンプチケット,4,0,4,{"anyOrdersCleared":[148]},FALSE
150,192,Test your might "colette Spring" advanced 3rd,腕試し編・コレット春 上級3RD,Clear level 9 musics of REFLEC BEAT colette Spring with full combo,REFLEC BEAT colette Springの楽曲でレベル9の楽曲をフルコンボクリア,Test your might advanced 3 fragment,腕試し上級のかけら3,15,red,Stamp ticket,スタンプチケット,5,0,4,{"anyOrdersCleared":[149]},FALSE
151,193,Test your might "colette Spring" advanced final,腕試し編・コレット春 上級FINAL,Clear Windy Fairy (HARD),Windy FairyのHARDをランクAA以上でクリア,Test your might advanced 4 fragment,腕試し上級のかけら4,10,red,Byword left part "Colette Spring advanced",通り名 前パーツ「三代春上級の」,1,0,4,{"anyOrdersCleared":[150]},FALSE
152,194,Test your might "colette Spring" elite 1st,腕試し編・コレット春 超上級1ST,Clear musics of REFLEC BEAT colette Spring in HARD difficulty with AAA+ rank and full combo,REFLEC BEAT colette Springの楽曲のHARDをランクAAA+でフルコンボクリア,Test your might elite 1 fragment,腕試し超上級1のかけら,15,red,Stamp ticket,スタンプチケット,3,0,5,{},FALSE
153,195,Test your might "colette Spring" elite 2nd,腕試し編・コレット春 超上級2ND,Clear level 10 musics of REFLEC BEAT colette Spring with AAA rank or above,REFLEC BEAT colette Springの楽曲でレベル10の楽曲をランクAAA以上でクリア,Test your might elite 2 fragment,腕試し超上級のかけら2,15,red,Stamp ticket,スタンプチケット,4,0,5,{"anyOrdersCleared":[152]},FALSE
154,196,Test your might "colette Spring" elite 3rd,腕試し編・コレット春 超上級3RD,Clear ARACHNE (HARD) with AAA rank or above,ARACHNEのHARDをランクAAA以上でクリア,Test your might elite 3 fragment,腕試し超上級のかけら3,10,red,Stamp ticket,スタンプチケット,5,0,5,{"anyOrdersCleared":[153]},FALSE
155,197,Test your might "colette Spring" elite final,腕試し編・コレット春 超上級FINAL,Clear ストレイ・マーチ (HARD) with AAA+ rank or above,ストレイ・マーチのHARDをランクAAA+でクリア,Test your might elite 4 fragment,腕試し超上級のかけら4,10,red,Byword left part "Colette Spring elite",通り名 前パーツ「三代春超上級の」,1,0,6,{"anyOrdersCleared":[154]},FALSE
156,99,Summer gear - head ☆1,夏装備あたま編 ☆1,Play musics of level 8,レベル8の楽曲をプレー,Level 8 fragment,レベル8のかけら,10,blue,Normal cap,ふつうのキャップ,1,0,1,{},FALSE
157,100,Summer gear - head ☆2,夏装備あたま編 ☆2,Play musics of REFLEC BEAT limelight,REFLEC BEAT coletteの楽曲をプレー,Colette fragment,コレットのかけら,10,blue,Summer straw hat,夏の麦わら帽子,1,0,1,"{""equipCondition"":{""index"":0,""season"":2,""experiences"":0}}",FALSE
158,101,Summer gear - head ☆3,夏装備あたま編 ☆3,Play musics of REFLEC BEAT colette Summer,Summerバージョンの楽曲をプレー,Summer fragment,夏のかけら,10,blue,Sunglasses,サングラス,1,0,2,"{""equipCondition"":{""index"":0,""season"":2,""experiences"":1}}",FALSE
159,102,Summer gear - head ☆4,夏装備あたま編 ☆4,Play musics in MEDIUM difficulty,MEDIUMをプレー,MEDIUM fragment,MEDIUMのかけら,12,blue,Scuba face,スキューバフェイス,1,0,2,"{""equipCondition"":{""index"":0,""season"":2,""experiences"":2}}",FALSE
160,103,Summer gear - head ☆5,夏装備あたま編 ☆5,Play musics start with row W,「わ行」で始まる名前の楽曲をプレー,Row W fragment,「わ行」のかけら,12,blue,Octopus hood,タコさんフード,1,0,3,"{""equipCondition"":{""index"":0,""season"":2,""experiences"":4}}",FALSE
161,104,Summer gear - head ☆6,夏装備あたま編 ☆6,Play with Kanto region players via matching,関東地方のプレイヤーとマッチングする,Regional matching 2 fragment,エリアマッチング2のかけら,14,blue,Pirate hat,海賊ハット,1,0,3,"{""equipCondition"":{""index"":0,""season"":2,""experiences"":7}}",FALSE
162,105,Summer gear - body ☆1,夏装備からだ編 ☆1,Play musics of level 7,レベル7の楽曲をプレー,Level 7 fragment,レベル7のかけら,10,blue,Casual summer clothing,カジュアルな夏服,1,0,1,{},FALSE
163,106,Summer gear - body ☆2,夏装備からだ編 ☆2,Play musics in BASIC difficulty,BASICをプレー,BASIC fragment,BASICのかけら,10,blue,Stylish aloha shirt,おしゃれなアロハ,1,0,1,"{""equipCondition"":{""index"":1,""season"":2,""experiences"":0}}",FALSE
164,107,Summer gear - body ☆3,夏装備からだ編 ☆3,Play musics of REFLEC BEAT,初代REFLEC BEATの楽曲をプレー,REFLEC BEAT fragment,初代のかけら,10,blue,Fishing wear,フィッシングウェア,1,0,2,"{""equipCondition"":{""index"":1,""season"":2,""experiences"":1}}",FALSE
165,108,Summer gear - body ☆4,夏装備からだ編 ☆4,Play musics of REFLEC BEAT colette Summer,Summerバージョンの楽曲をプレー,Summer fragment,夏のかけら,12,blue,Scuba set,スキューバセット,1,0,2,"{""equipCondition"":{""index"":1,""season"":2,""experiences"":2}}",FALSE
166,109,Summer gear - body ☆5,夏装備からだ編 ☆5,Play musics start with row A,「あ行」で始まる名前の楽曲をプレー,Row A fragment,「あ行」のかけら,12,blue,Octopus suit,タコさんスーツ,1,0,3,"{""equipCondition"":{""index"":1,""season"":2,""experiences"":4}}",FALSE
167,110,Summer gear - body ☆6,夏装備からだ編 ☆6,Play with Kinki region players via matching,近畿地方のプレイヤーとマッチングする,Regional matching 1 fragment,エリアマッチング1のかけら,14,blue,Pirate costume,海賊衣装,1,0,3,"{""equipCondition"":{""index"":1,""season"":2,""experiences"":7}}",FALSE
168,111,Summer gear - hand ☆1,夏装備もちもの編 ☆1,Play musics of level 9,レベル9の楽曲をプレー,Level 9 fragment,レベル9のかけら,10,blue,Wood fishing rod,木の釣りざお,1,0,1,{},FALSE
169,112,Summer gear - hand ☆2,夏装備もちもの編 ☆2,Play musics of REFLEC BEAT colette Summer,Summerバージョンの楽曲をプレー,Summer fragment,夏のかけら,10,blue,Normal fishing rod,ふつうの釣りざお,1,0,1,"{""equipCondition"":{""index"":2,""season"":2,""experiences"":0}}",FALSE
170,113,Summer gear - hand ☆3,夏装備もちもの編 ☆3,Play musics in HARD difficulty,HARDをプレー,HARD fragment,HARDのかけら,10,blue,Golden rod,ゴールドロッド,1,0,2,"{""equipCondition"":{""index"":2,""season"":2,""experiences"":1}}",FALSE
171,114,Summer gear - hand ☆4,夏装備もちもの編 ☆4,Play musics of REFLEC BEAT limelight,REFLEC BEAT limelightの楽曲をプレー,Limelight fragment,ライムライトのかけら,12,blue,Sea fishing net,海釣り用のあみ,1,0,2,"{""equipCondition"":{""index"":2,""season"":2,""experiences"":2}}",FALSE
172,115,Summer gear - hand ☆5,夏装備もちもの編 ☆5,Play musics start with row S,「さ行」で始まる名前の楽曲をプレー,Row S fragment,「さ行」のかけら,12,blue,Undersea spear,海底のやり,1,0,3,"{""equipCondition"":{""index"":2,""season"":2,""experiences"":4}}",FALSE
173,116,Summer gear - hand ☆6,夏装備もちもの編 ☆6,Play with Chubu region players via matching,中部エリアのプレイヤーとマッチングする,Regional matching 3 fragment,エリアマッチング3のかけら,14,blue,Pirate sabre,海賊サーベル,1,0,3,"{""equipCondition"":{""index"":2,""season"":2,""experiences"":7}}",FALSE
174,139,"""The heroes of two""",「二人の英雄」,Play musics in HARD difficulty via matching during FINAL ROUND,FINAL ROUNDでHARD譜面の楽曲を選曲し対人マッチングを行う,"""The heroes of two"" fragment",二人の英雄のかけら,20,violet,Stamp ticket,スタンプチケット,1,0,4,{"hasOrder":true},FALSE
175,140,"""The power of white""",「白の力」,Play musics with names related to "white" via matching during FINAL ROUND,FINAL ROUNDで「白」もしくはそれを連想させる要素を曲名に含む楽曲をプレー,"""The power of white"" fragment",白の力のかけら,20,violet,Byword left part "White",通り名 前パーツ「白の」,1,0,5,{"hasOrder":true},FALSE
176,141,"""The apperance of Phoenix""",「朱雀の姿」,Play musics with names related to phoenix via matching during FINAL ROUND,FINAL ROUNDで朱雀に関連する曲をマッチングしてプレー,"""The apperance of Phoenix"" fragment",朱雀の姿のかけら,20,violet,Byword left part "Red",通り名 前パーツ「赤の」,1,0,6,{"hasOrder":true},FALSE
177,35,Order of matching with anyone,マッチング編 誰とでも！,Matching with anyone,誰かとマッチングをする,Matching 1 fragment,マッチング1のかけら,12,orange,Stamp ticket,スタンプチケット,5,2,2,"{""anyOrdersCleared"":[27,28,29,30]}",TRUE
178,35,Order of matching with anyone,マッチング編 誰とでも！,Matching with anyone,誰かとマッチングをする,Matching 1 fragment,マッチング1のかけら,12,orange,Stamp ticket,スタンプチケット,5,2,2,"{""anyOrdersCleared"":[27,28,29,30]}",TRUE
179,35,Order of matching with anyone,マッチング編 誰とでも！,Matching with anyone,誰かとマッチングをする,Matching 1 fragment,マッチング1のかけら,12,orange,Stamp ticket,スタンプチケット,5,2,2,"{""anyOrdersCleared"":[27,28,29,30]}",TRUE
180,35,Order of matching with anyone,マッチング編 誰とでも！,Matching with anyone,誰かとマッチングをする,Matching 1 fragment,マッチング1のかけら,12,orange,Stamp ticket,スタンプチケット,5,2,2,"{""anyOrdersCleared"":[27,28,29,30]}",TRUE
181,35,Order of matching with anyone,マッチング編 誰とでも！,Matching with anyone,誰かとマッチングをする,Matching 1 fragment,マッチング1のかけら,12,orange,Stamp ticket,スタンプチケット,5,2,2,"{""anyOrdersCleared"":[27,28,29,30]}",TRUE
182,35,Order of matching with anyone,マッチング編 誰とでも！,Matching with anyone,誰かとマッチングをする,Matching 1 fragment,マッチング1のかけら,12,orange,Stamp ticket,スタンプチケット,5,2,2,"{""anyOrdersCleared"":[27,28,29,30]}",TRUE
183,117,Order of harvesting items No.1,収穫アイテム編 その1,Play musics of REFLEC BEAT colette Autumn,Autumnバージョンの曲をプレー,Harvesting item fragment 1,収穫アイテムのかけら1,12,violet,Intuition boost drink,直感促進ドリンク,3,1,3,{},TRUE
184,118,Order of harvesting items No.2,収穫アイテム編 その2,Play musics of REFLEC BEAT colette Autumn,Autumnバージョンの曲をプレー,Harvesting item fragment 2,収穫アイテムのかけら2,12,violet,Magic clock,まほうの時計,3,1,3,{"anyOrdersCleared":[183]},TRUE
185,119,Order of harvesting items No.3,収穫アイテム編 その3,Play musics of REFLEC BEAT colette,REFLEC BEAT coletteの楽曲をプレー,Harvesting item fragment 3,収穫アイテムのかけら3,25,violet,Intuition boost drink,直感促進ドリンク,2,1,3,{},TRUE
186,120,Order of harvesting items No.4,収穫アイテム編 その4,Matching with anyone,みんなとマッチングをする,Harvesting item fragment 4,収穫アイテムのかけら4,25,violet,Magic clock,まほうの時計,2,1,3,{"anyOrdersCleared":[185]},TRUE
187,198,Test your might "colette Summer" primary 1st,腕試し編・コレット夏 初級1ST,Clear musics of REFLEC BEAT colette Summer with AA rank or above,REFLEC BEAT colette Summerの楽曲をランクAA以上でクリア,Test your might primary 1 fragment,腕試し初級のかけら1,15,red,Stamp ticket,スタンプチケット,3,0,2,{},FALSE
188,199,Test your might "colette Summer" primary 2nd,腕試し編・コレット夏 初級2ND,Clear level 8 musics of REFLEC BEAT colette Summer,REFLEC BEAT colette Summerの楽曲でレベル8の楽曲をクリア,Test your might primary 2 fragment,腕試し初級のかけら2,15,red,Stamp ticket,スタンプチケット,4,0,2,{"anyOrdersCleared":[187]},FALSE
